pred_probs_arrivals,mean_p_arrivals,capacity_arrivals,trial,date
85.0,90.0,62.0,0,2017-03-18
93.0,95.0,73.0,0,2016-12-24
83.0,88.0,61.0,0,2017-04-12
78.0,90.0,64.0,0,2017-04-05
83.0,85.0,69.0,0,2017-03-23
80.0,83.0,64.0,0,2017-03-25
92.0,93.0,77.0,0,2017-04-10
95.0,100.0,81.0,0,2017-04-13
70.0,73.0,68.0,0,2017-04-19
99.0,97.0,77.0,0,2017-04-17
75.0,72.0,52.0,0,2017-04-20
102.0,113.0,88.0,0,2017-04-27
86.0,87.0,77.0,0,2017-04-18
82.0,99.0,68.0,0,2017-04-11
77.0,74.0,51.0,0,2017-04-24
88.0,99.0,70.0,0,2017-04-03
97.0,98.0,74.0,0,2017-04-08
96.0,109.0,76.0,0,2017-04-23
98.0,91.0,69.0,0,2017-03-26
76.0,82.0,56.0,0,2017-04-14
75.0,84.0,65.0,0,2017-04-16
97.0,98.0,77.0,0,2017-04-09
85.0,76.0,61.0,0,2017-05-04
79.0,88.0,65.0,0,2017-04-30
79.0,70.0,60.0,0,2017-04-21
102.0,106.0,84.0,0,2017-04-29
86.0,90.0,75.0,0,2017-05-06
88.0,81.0,67.0,0,2017-05-02
69.0,74.0,62.0,0,2017-04-26
97.0,98.0,73.0,0,2017-05-11
93.0,97.0,75.0,0,2017-04-28
89.0,82.0,72.0,0,2017-05-01
88.0,92.0,68.0,0,2017-05-03
79.0,90.0,74.0,0,2017-05-12
74.0,72.0,51.0,0,2017-04-22
81.0,79.0,62.0,0,2017-05-05
88.0,86.0,70.0,0,2017-05-17
73.0,79.0,65.0,0,2017-05-10
74.0,84.0,55.0,0,2017-05-15
97.0,95.0,80.0,0,2017-05-22
83.0,85.0,68.0,0,2017-05-09
92.0,90.0,71.0,0,2017-05-21
83.0,93.0,71.0,0,2017-05-16
95.0,95.0,77.0,0,2017-05-25
83.0,96.0,73.0,0,2017-05-07
89.0,98.0,75.0,0,2017-05-23
100.0,97.0,87.0,0,2017-05-08
94.0,88.0,80.0,0,2017-04-15
91.0,106.0,81.0,0,2017-05-31
97.0,104.0,80.0,0,2017-05-14
84.0,91.0,74.0,0,2017-05-19
88.0,86.0,64.0,0,2017-05-13
91.0,96.0,79.0,0,2017-05-26
83.0,96.0,75.0,0,2017-06-01
89.0,91.0,73.0,0,2017-05-18
86.0,94.0,68.0,0,2017-03-13
69.0,83.0,61.0,0,2017-06-02
70.0,72.0,49.0,0,2017-05-20
96.0,97.0,76.0,0,2017-06-05
80.0,81.0,66.0,0,2017-06-07
67.0,83.0,71.0,0,2017-06-09
75.0,88.0,60.0,0,2017-06-04
78.0,71.0,59.0,0,2017-06-11
95.0,103.0,80.0,0,2017-06-06
98.0,110.0,87.0,0,2017-05-30
76.0,82.0,62.0,0,2017-05-24
100.0,91.0,74.0,0,2017-06-08
111.0,113.0,80.0,0,2017-05-27
86.0,95.0,63.0,0,2017-06-16
